French,English,Source
"d'une envergure, ","of a scale,",missing
d’une ampleur exceptionnelle,of an exceptional magnitude,missing
contre une rançon,for ransom,missing
allumeront leur ordinateur.,turn on their computers.,missing
personne n'avait jamais rien vu de tel.,nobody had ever seen anything like it.,missing
se diffuse par,spreads through,missing
à verser,to be paid,missing
la lutte contre,the fight against,missing
avoir mis la main sur ,to have gotten its hands on,missing
malveillant,malicious,missing
est prise d’une nausée,is nauseous,missing
C’est-à-dire que ce n’est même pas,That is to say that it is not even,missing
de la défaite,the defeat,missing
Qu’est-ce qu’on pourra faire,what can we do to...,missing
compte tenu,considering,missing
 Il faut empêcher ça,We have to prevent that,missing
on s'absente de chez soi,you're away from home,missing
cette mise en scène,production/staging,missing
On va se mettre tout de suite,We're going to get right into,missing
 j’ai toujours retenue, I have always remembered,missing
tenir sans cesse préparé, to keep constantly prepared,missing
il doit promener son esprit,he must put his mind,missing
fâcheux,unfortunate,missing
se figurer,imagine oneself,missing
l’imputer à bonne fortune.,attribute it to good fortune. ,missing
aux coups de pied au cul,to kicks in the ass,missing
aux bastonnades,to beatingd,missing
ce qui a manqué à m’arriver,what failed to happen to me,missing
Ah ! Ah ! Ma foi,my goodness,missing
"par quelque autre voie,",by some other means,missing
d'avoir toujours un coup d'avance,to always be one step ahead,missing
on s'agitait,we were getting restless,missing
qui sont apparues,that appeared,missing
Des choses primordiales,essential things,missing
Il s’est dit,he said to himself,missing
il tricote avec les,he knits with the,missing
s'auto-conduire,self-driving,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
 d'effectuer,to perform,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
Il nous en dit plus,qqn tells us more,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
 lâcher le volant,let go steering wheel,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
changer de file,change lanes,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
pouvant même,being able to even,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
emprunte une autoroute à double sens,uses a two-way highway,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
Malaise…,Discomfort,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
a précisé qu'il s'agissait,specified that it was,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
routière,road,https://savoirs.rfi.fr/fr/questionnaire/233/resultats
côte à côte,side by side,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
 l'une des plus sanglantes batailles, one of the bloodiest battles in history.,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
"Ne jamais oublier et tirer 
les leçons de l'histoire",Never forget and learn from history,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
où sont enterrés,where are buried,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
ils rendent hommage,they pay hommage,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
des tambours ,drums,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
ont déferlé,have swarmed,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
 le chef de l’État,the head of state,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
qui incarnaient ,who embodied,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
un monde qui ne l’était plus. ,a world that no longer was. ,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
avec une volonté,with a willingness,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
de tirer les enseignements du passé.,to learn from the past.,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
Nous devons mettre à l’épreuve ,we have to put to the test,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
au sein de l’Europe.,within europe,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
Comme en écho,in the same manner,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
qui retienne l’espérance,that retains hope,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
Un devoir sacré ,a sacred duty,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
patrie ,homeland,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
ont essayé de redonner du sens,have tried to give meaning back,https://savoirs.rfi.fr/fr/questionnaire/208/resultats
mobilisez vos connaissances.,mobilize your knowledge.,https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/1
Cochez la bonne réponse,Tick the right answer,https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/2
 quasiment,almost,https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/3
à pas plus de,not lore than,https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/4
à peu près,"about, close to",https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/5
qui provient de,which comes from,https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/6
faibles,weak....fayble,https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/7
se rapprocher ,getting closer,https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/8
pour le moment du moins.,for the moment (we cannot),https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/9
"Donc, ce qu’on fait","So, what we do",https://savoirs.rfi.fr/fr/apprendre-enseigner/sciences/presenter-un-lieu-scientifique-lobservatoire-astronomique-de-paranal/10
ont mis au point,have developed,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
 énergivore, energy-consuming,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
l’éclairage ,the lighting,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
l’étape de fabrication,the manufacturing process.,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
moins de monde,less people,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
on va faire en sorte,we're going to make sure that,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
chef de segment à l’usine,segment manager at the plant,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
énergies renouvelables.,renewable energies.,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
l’éolien,the wind turbine,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
qui est déporté,which is offset,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
qui allie,which combines,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
a permis de repenser ,has allowed us to rethink ,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
domotique,home automation,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
lorsqu’on,when you,https://savoirs.rfi.fr/fr/questionnaire/230/resultats
des bandelettes de tissus,strips of cloth,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
le site de fouilles,excavation site,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
"un cercueil,",a coffin,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
était logé ,was housed,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
la paroi ,the walll,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
avant notre ère.,"before our era, BC",https://savoirs.rfi.fr/fr/questionnaire/278/resultats
les couches de toile,the layers of canvas,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
plâtre,plaster,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
tient surtout à,is mainly due to,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
il était enterré,he was buried,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
serviteur ,sevant,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
se serait appelé ,would have been called ,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
porté le titre de,bore the title of,https://savoirs.rfi.fr/fr/questionnaire/278/resultats
la recherche agronomique,agricultural research,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
de butiner,to forage,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
C’est bien entendu ,it is of course,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
afin de chercher,in order to look,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
on a tout un tas ,we have a whole bunch,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
abondantes ,abundant,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
pissenlit.,dandelion,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
Sans forcément provoquer,Without necessarily causing,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
à perturber ,to disturb,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
Pourtant ,yet,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
période de floraison,flowering period,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
empoisonnées,poisoned,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
À l’heure actuelle,at present time,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
la ruche,the hive,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
qui est à son tour,which is in turn,https://savoirs.rfi.fr/fr/questionnaire/223/resultats
tirailleurs,former soldiers who came from the former colonies,https://savoirs.rfi.fr/fr/questionnaire/394/resultats
installés en France,settled in France,https://savoirs.rfi.fr/fr/questionnaire/394/resultats
Des décennies après,decades after,https://savoirs.rfi.fr/fr/questionnaire/394/resultats
 j’avais en tête,i had in mind,https://savoirs.rfi.fr/fr/questionnaire/394/resultats
dette de sang,blood debt,https://savoirs.rfi.fr/fr/questionnaire/394/resultats
doivent pouvoir devenir ,must be able to become,https://savoirs.rfi.fr/fr/questionnaire/394/resultats
Il a fallu mener ,We had to fight ,https://savoirs.rfi.fr/fr/questionnaire/394/resultats
je laisse le micro,je laisse le micro,https://savoirs.rfi.fr/fr/questionnaire/394/resultats
d'emploi qui fait rêver,dream job,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
costaud,strong,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
vivement recommandé,highly recommended,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
exigences élevées,high requirements,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
croule sous,crumbling under,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
à remplir,to fulfill,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
Outre les traditionnels,In addition to the traditional,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
avant de fouler,before treading,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
"les heureux élus,",the lucky ones,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
le nom du digne successeur de ,the name of the worthy successor of ,https://savoirs.rfi.fr/fr/questionnaire/145/resultats
Ce qui ressort apparemment,what seems to stand out...,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
se déplacer,move around,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
devrait avaler,should swallow,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
fougères,ferns,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
loe os... sont creusés,are hollowed out,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
on sait qu’ils sont liés,we know they are linked,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
parfaitement conçu,percetly designed,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
ça implique,that implies,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
pas de problèmes là-dessus,no problem on that,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
installer durablement,settle permanently,https://savoirs.rfi.fr/fr/questionnaire/38/resultats
À quoi ressembleraient,what would it look/be like,https://savoirs.rfi.fr/fr/questionnaire/36/resultats
cessent d’émettre,stop transmitting,https://savoirs.rfi.fr/fr/questionnaire/36/resultats
d’usagers,users,https://savoirs.rfi.fr/fr/questionnaire/36/resultats
 davantage,more,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
 résout,solves,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
 a foulé,walkes,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
 les preuves,the evidence,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
sur lesquels reposent,on which rest,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
Restait à savoir,It remained to be seen,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
 Faute de,for lack of,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
tout comme,just like,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
presque certaine,almost certain,https://savoirs.rfi.fr/fr/questionnaire/405/resultats
recueilli,collected,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
les expressions grivoises,saucy expressions,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
Se faire ripoliner le candélabre,receive fellaiton,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
avoir fait une visite au président du Sénat,lie to his wife,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
ça relie,it conects,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
dans l’air du temps,"common, in the era",https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
 faire miauler son chat,to have an orgasm,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
Du coup,so,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
 Remettre cent balles dans le jukebox ,sex second time,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
coïter,sex second time,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
se laisser mâchouiller les pétales,allow cunninglingness,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
y en avait que,There were only,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
Défriser la chicorée,To relax the chicory,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
mettre le pape dans Rome,mave sex,https://savoirs.rfi.fr/fr/questionnaire/1183/resultats
sans qu’on en ait ,without any,https://savoirs.rfi.fr/fr/questionnaire/35/resultats
conscience,awareness,https://savoirs.rfi.fr/fr/questionnaire/35/resultats
en continu,continuously,https://savoirs.rfi.fr/fr/questionnaire/35/resultats
tant qu’on,as long as we,https://savoirs.rfi.fr/fr/questionnaire/35/resultats
étaient à des années lumières,light years away,https://savoirs.rfi.fr/fr/questionnaire/35/resultats
c’est le cas de le dire ,as far as we can tell,https://savoirs.rfi.fr/fr/questionnaire/35/resultats
 fiable,reliable,https://savoirs.rfi.fr/fr/questionnaire/35/resultats
faible,low,https://savoirs.rfi.fr/fr/questionnaire/35/resultats
il y a quelque chose qui a été brisé chez lui,there is something broken in him,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
désamour,dislike,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
on sent ,one feels,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
qui est déçu,who is disappointed,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
narcissique,narcissistic,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
sa façon d'aimer,his way of loving,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
on va dire,one might say,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
des gens qui médisent,people who slander,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
qui aime médire ,who loves to slander ,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
 il n'empêche que,it does not prevent,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
la mise en scène,the direction,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
plutôt que sur ,rather than on,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
dans la fâcherie,in anger,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
 lâche,coward,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
 faiseurs,doers,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
grand courroux,great wrath,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
morbleu,damn it,https://savoirs.rfi.fr/fr/questionnaire/1090/resultats
les Hongkongais se réuniront ,the...will gather,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
un rassemblement,a gathering,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
s’est rendu,visited,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
une affluence digne,a dignified attendance,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
se bousculent,jostle each other / flocked,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
cette lutte,this struggle,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
 le temps joue contre nous,time is against us.,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
très abimé,badly damaged,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
 une banderole,a banner,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
perturbateurs,troublemakers,https://savoirs.rfi.fr/fr/questionnaire/886/resultats
Largement en tête,largely in the lead,https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
bouleversé,upset (like in a game/match),https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
de redescendre de leur petit nuage,to come down from their little cloud,https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
décernée,awarded,https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
s'installe,settles in,https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
s'est écoulé,sold out,https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
exemplaires,copies,https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
ses paroles fleuries,his flowery lyrics ,https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
leurs ainés ,their elders,https://savoirs.rfi.fr/fr/questionnaire/1169/resultats
À l'aube du 6 juin 1944,"At dawn on June 6, 1944",https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/retour-sur-le-debarquement/1
 appuyée par,supported by,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/retour-sur-le-debarquement/1
venait de commencer,had just begun,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/retour-sur-le-debarquement/1
à travers les souvenirs,through the memories ,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/retour-sur-le-debarquement/1
l'aube,dawn,https://savoirs.rfi.fr/fr/questionnaire/270/resultats
la fusee...longue marche ,long range (walk),https://savoirs.rfi.fr/fr/questionnaire/270/resultats
encore plus ambitieuse,even more ambitious,https://savoirs.rfi.fr/fr/questionnaire/270/resultats
même si,even if,https://savoirs.rfi.fr/fr/questionnaire/270/resultats
l'insoumission,insubordination,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/germaine-tillion-resistante/1
des vieillards     vjɛ.jaʁ,old people,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/germaine-tillion-resistante/1
Quand par hasard,when by chance,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/germaine-tillion-resistante/2
un évadé,an escapee,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/germaine-tillion-resistante/3
"La première chose que 
nous avons eu à faire",The first thing we had to do,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/germaine-tillion-resistante/4
"nous étions pour tout ce qui 
est contre, contre tout ce qui est pour","we were for everything that is against, against everything that is for",https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/germaine-tillion-resistante/5
a été mis en vente,was put on sale,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
cet échec,this failure,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
D'ailleurs,by the way / in fact,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
le titre à la bourse,stock on the exchange,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
détrôner,dethrone,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
soit quelques semaines,or a few weeks,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
Une opération inédite,An unprecedented operation,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
les dégâts,the damage,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
"Inévitables, irréparables","Inevitable, irreparable",https://savoirs.rfi.fr/fr/questionnaire/267/resultats
aura fort à faire,will have a lot to do,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
concurrents,competitors,https://savoirs.rfi.fr/fr/questionnaire/267/resultats
a tenu à souligner que,He stressed that,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/1
a rendu hommage,paid tribute to,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/2
dépêchés à ,sent to,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/3
contenir,contain,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/4
pour tenter d'y contenir,in an attempt to contain,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/5
un rappel cruel,cruel reminder,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/6
en dissimulant,by concealing,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/7
qqn a recours,has resorted to,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/8
plus sûres ,safer,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/9
Il y aurait encore beaucoup à apprendre,There is still much to learn,https://savoirs.rfi.fr/fr/apprendre-enseigner/histoire/tchernobyl-un-triste-anniversaire/10
à peu près,about,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
un seau,a bucket,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
elle a noyé,she drowned,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
elle [ne] récoltait rien,she wasnt getting anything,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
 Il se trouve qu’en..., It just so happens that in...,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
qqn a au moins,...has at least,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
un capteur,a sensor,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
mettre en marche,switch on,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
qui est lié,which is linked,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
On n’arrose pas,you dont water,https://savoirs.rfi.fr/fr/questionnaire/225/resultats
Concevoi,conceptual design,https://savoirs.rfi.fr/fr/questionnaire/224/resultats
l’une des choses qui s’apprend,one of the things you learn,https://savoirs.rfi.fr/fr/questionnaire/224/resultats
par hasard.,by chance,https://savoirs.rfi.fr/fr/questionnaire/224/resultats
À la base,at the beginning,https://savoirs.rfi.fr/fr/questionnaire/224/resultats
cela s’est pas fait,it was not done,https://savoirs.rfi.fr/fr/questionnaire/224/resultats
Et du coup,"as a result, finally",https://savoirs.rfi.fr/fr/questionnaire/224/resultats
 plutôt que,rather than,https://savoirs.rfi.fr/fr/questionnaire/224/resultats
